ID,Opponent,Home/Away,AP25,Media,Label
1,Texas,Home,Out,1-NBC,Win
2,Virginia,Away,Out,4-ABC,Win
3,GeorgiaTech,Home,In,1-NBC,Win
4,Umass,Home,Out,1-NBC,Win
5,Clemson,Away,In,4-ABC,Lose
6,Navy,Home,Out,1-NBC,Win
7,USC,Home,In,1-NBC,Win
8,Temple,Away,Out,1-NBC,Win
9,PITT,Away,Out,1-NBC,Win
10,WakeForest,Home,Out,1-NBC,Win
11,BostonCollege,Away,Out,1-NBC,Win
12,Stanford,Away,In,3-FOX,Lose
13,Texas,Away,Out,4-ABC,Lose
14,Nevada,Home,Out,1-NBC,Win
15,MichiganState,Home,Out,1-NBC,Lose
16,Duke,Home,Out,1-NBC,Lose
17,Syracuse,Home,Out,2-ESPN,Win
18,NorthCarolinaState,Away,Out,4-ABC,Lose
19,Stanford,Home,In,1-NBC,Lose
20,MiamiFlorida,Home,Out,1-NBC,Win
21,Navy,Home,Out,5-CBS,Lose
22,Army,Home,Out,1-NBC,Win
23,VirginiaTech,Home,In,1-NBC,Lose
24,USC,Away,In,4-ABC,Lose
